PRIMKEY;COUNTRY;FIPSCODE;COWCODE;CONTCODE;SITENUM;NAME;LAT;LONG;RES;RESINFO;LOCSOURCE;FIELDINFO;DISC;DISCPRES;PROD;PRODPRES;OTHERINFO;SOURCEINFO;VERSION
OF162PET;Indonesia;ID;850;3;162;Sulawesi Accretionary Prism;-1,71;125,84;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF165PET;Indonesia;ID;850;3;165;Northern Irian Jaya Waropen B;-1,37;137,29;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF163PET;Indonesia;ID;850;3;163;Bintuni/Sulawati Province;-1,44;130,80;PET;oil and gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;TBA/TBC fields - no further information available;Petroleum Economist, 2003;1,2
OF151PET;Indonesia;ID;850;3;151;Kutei Basin;-0,95;117,48;PET;oil and gas;Steinshouer et al., 1999;1;1970;1;-9999;3;Attaka field discovered in 1970;Kulke, 1994 - Nugroho, 2003;1,2
OF138PET;Indonesia;ID;850;3;138;Sumatra/Java-Force-Arc Basins;1,01;98,00;PET;gas;Steinshouer et al., 1999;4;-9999;3;-9999;4;exploration but no commercial discoveries;Kulke, 1994;1,2
OF139PET;Indonesia;ID;850;3;139;Central Sumatra Basin;1,03;102,51;PET;oil and gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF137PET;Indonesia;ID;850;3;137;Sumatra/Java-Force-Arc Basins;2,08;97,58;PET;gas;Steinshouer et al., 1999;4;-9999;3;-9999;4;exploration but no commercial discoveries;Kulke, 1994;1,2
OF148PET;Indonesia;ID;850;3;148;East Natuna Basin;3,37;109,31;PET;gas;Steinshouer et al., 1999;4;1982;1;-9999;4;uncommercial gas discovered in 1982;Kulke, 1994;1,2
OF146PET;Indonesia;ID;850;3;146;Greater Sarawak Basin;3,86;109,79;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF136PET;Indonesia;ID;850;3;136;Sumatra/Java-Force-Arc Basins;3,96;95,94;PET;gas;Steinshouer et al., 1999;4;-9999;3;-9999;4;exploration but no commercial discoveries;Kulke, 1994;1,2
OF144PET;Indonesia;ID;850;3;144;Greater Sarawak Basin;5,46;109,78;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF143PET;Indonesia;ID;850;3;143;Greater Sarawak Basin;5,52;109,15;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF135PET;Indonesia;ID;850;3;135;North Sumatra Basin;5,08;98,07;PET;oil and gas;Steinshouer et al., 1999;1;1986;1;2001;2;Kambuna field discovered in 1986 - production in the basin at least since 2001;RIGZONE, 2001a;1,2
OF142PET;Indonesia;ID;850;3;142;Greater Sarawak Basin;6,12;109,52;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF158PET;Indonesia;ID;850;3;158;Java/Banda Sea;-6,76;115,99;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF157PET;Indonesia;ID;850;3;157;East Java Basin;-7,10;115,77;PET;oil and gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF147PET;Indonesia;ID;850;3;147;East Natuna Basin;4,45;108,92;PET;gas;Steinshouer et al., 1999;4;1982;1;-9999;4;uncommercial gas discovered in 1982;Kulke, 1994;1,2
OF145PET;Indonesia;ID;850;3;145;Greater Sarawak Basin;4,18;109,31;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF150PET;Indonesia;ID;850;3;150;Ketuneau/Sintang Terrane;3,55;117,32;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF149PET;Indonesia;ID;850;3;149;Pamusian Tarakan Basin;3,54;117,90;PET;oil and gas;Steinshouer et al., 1999;1;1945;1;-9999;3;Bengara Block partially offshore - wells drilled since 1938;Continental Energy Corporation, 2002;1,2
OF140PET;Indonesia;ID;850;3;140;Malay Basin;5,28;105,52;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;fields can not be identified due to the fact that they are close to the other basin;;1,2
OF141PET;Indonesia;ID;850;3;141;Penyu/West Natuna Basin;4,43;105,97;PET;oil and gas;Steinshouer et al., 1999;1;1974;1;1979;1;Udang field discovered in 1974 and came on stream in 1979;Kulke, 1994 - Museum Migas, year unknown;1,2
OF161PET;Indonesia;ID;850;3;161;Sulawesi Accretionary Prism;-2,09;121,75;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF160PET;Indonesia;ID;850;3;160;North Banda Basin;-1,78;122,13;PET;oil and gas;Steinshouer et al., 1999;4;-9999;3;-9999;4;Donggi field - project under development;Petroleum Economist, 2003 - Laksamana.Net, 2003;1,2
OF131PET;India;IN;750;3;131;Cauvery;10,12;79,60;PET;oil;Wandrey et al., 1999 - Petroleum Economist, 2003;3;-9999;3;-9999;3;PH-9 field  - no further information available;Petroleum Economist, 2003;1,2
OF132PET;India;IN;750;3;132;Cauvery;11,21;80,06;PET;oil;Wandrey et al., 1999 - Petroleum Economist, 2003;1;1997;2;1997;1;PY-3 field came on stream in 1997 - PY-1 is expected to start operating in the end 2003/beginning 2004;HDCF Securities, 2000 - Petroleum Economist, 2003;1,2
OF133PET;India;IN;750;3;133;Godavari-Krishna;15,68;81,03;PET;oil and gas;Wandrey et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF134PET;India;IN;750;3;134;Godavari-Krishna;16,31;82,06;PET;oil and gas;Wandrey et al., 1999 - Petroleum Economist, 2003;1;1979;1;2003;2;G-1 field found in 1979/80 - production at least since 2003;TajaNews, 2003 - Subramanian, 2003 - Petroleum Economist, 2003;1,2
OF130PET;India;IN;750;3;130;Bombay;19,28;71,74;PET;oil and gas;Wandrey et al., 1999 - Petroleum Economist, 2003;1;1974;1;1976;1;Bombay High field discovered in 1974 and came on stream in 1976;Wandrey et al., 2000 - World Oil, 1998 - Petroleum Economist, 2003;1,2
OF129PET;India;IN;750;3;129;Bombay;21,03;72,46;PET;oil and gas;Wandrey et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF128PET;India;IN;750;3;128;Bombay;21,70;72,37;PET;oil and gas;Wandrey et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF126PET;India;IN;750;3;126;Indus;23,43;68,11;PET;gas;Wandrey et al., 1999 - Petroleum Economist, 2003;2;-9999;3;-9999;4;uncommercial discoveries;Kulke, 1994;1,2
OF127PET;India;IN;750;3;127;Bombay;23,04;68,52;PET;gas;Wandrey et al., 1999 - Petroleum Economist, 2003;2;-9999;3;-9999;4;uncommercial discoveries;Kulke, 1994;1,2
OF090PET;China;CH;710;3;90;Yinggehai Basin;17,44;108,60;PET;gas;Steinshouer et al., 1999;1;1983;1;1996;1;Yacheng field discovered in 1983 and started operating in 1996;OilChina, 2003f - Kulke, 1994 - Kryopak, year unknown;1,2
OF089PET;China;CH;710;3;89;Qiongdongnan Basin;18,08;110,29;PET;oil;Steinshouer et al., 1999;4;-9999;3;-9999;4;in 2002 blocks in the basin were offered for high risk exploration;Xue, 2003;1,2
OF091PET;China;CH;710;3;91;Yinggehai Basin;18,74;107,92;PET;gas;Steinshouer et al., 1999;1;1992;1;1994;2;Donfang field discovered in 1992 and producing at least since 1994;OilChina, 2003b - Kulke, 1994;1,2
OF092PET;China;CH;710;3;92;Beibuwan Basin;20,48;109,55;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;Wushi field - no further information available;Kulke, 1994;1,2
OF084PET;China;CH;710;3;84;Pearl River Mouth Basin;20,53;113,98;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF082PET;China;CH;710;3;82;Pearl River Mouth Basin;21,54;116,33;PET;oil;Steinshouer et al., 1999;1;1989;1;1997;1;Lufeng field discovered in 1989 and put into production in 1997;Bottomley, 2003 - Kulke, 1994;1,2
OF081PET;China;CH;710;3;81;East China Sea Basin;26,99;121,86;PET;oil and gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;Donghai field - no further information available;ECQC, year unknown;1,2
OF080PET;China;CH;710;3;80;East China Sea Basin;28,90;125,09;PET;oil and gas;Steinshouer et al., 1999;1;1983;1;1988;1;Pinghu field discovered in 1983 and started operating in 1988;OilChina, 2003c - ECQC, year unknown;1,2
OF079PET;China;CH;710;3;79;East China Sea Basin;30,02;126,01;PET;oil and gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available;;1,2
OF093PET;China;CH;710;3;93;Beibuwan Basin;20,67;108,63;PET;oil and gas;Steinshouer et al., 1999;1;1978;1;1986;1;Weizhou field discovered in 1978 and put into production in 1986;Kulke, 1994 - OilChina, 2003d;1,2
OF088PET;China;CH;710;3;88;South China Continental Shelf;21,10;108,84;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no information available - fields could not be identified due to the fact that they are close to the other basin;Kulke, 1994;1,2
OF077PET;China;CH;710;3;77;Bohaiwan Basin;39,07;119,71;PET;oil and gas;Steinshouer et al., 1999;1;1958;2;1988;2;several discoveries since 1958 - production at least since 1988 - Bozhong fields;OilChina, 2003a - Petroleum Economist, 2003;1,2
OF078PET;China;CH;710;3;78;Luxi Jiaoliao Uplift;40,38;121,81;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF086PET;China;CH;710;3;86;South China Continental Shelf;20,76;115,92;PET;oil;Steinshouer et al., 1999;1;1997;1;2002;1;part of the Wenchang complex -> OFFPET;Husky Energy, 2000 - Husky Energy, 2002 - Kulke, 1994;1,2
OF083PET;China;CH;710;3;83;Pearl River Mouth Basin;21,17;115,07;PET;oil;Steinshouer et al., 1999;1;1985;1;1990;1;Huizhou field discovered in 1985 and came on stream in 1990;ChevronTexaco, year unknown - Kulke, 1994;1,2
OF085PET;China;CH;710;3;85;Pearl River Mouth Basin;19,69;112,14;PET;oil and gas;Steinshouer et al., 1999;1;1997;1;2002;1;Wechang fields discovered in 1997 and started operating in 2002;Husky Energy, 2000 - Husky Energy, 2002 - Kulke, 1994;1,2
OF087PET;China;CH;710;3;87;South China Continental Shelf;19,28;112,15;PET;oil;Steinshouer et al., 1999;1;1987;1;1996;1;Liuhua field discovered in 1987 and came on stream in 1996;Kryopak, year unknown - Kulke, 1994 - Virtual Information Center, 1999;1,2
OF061PET;Cambodia;CB;811;3;61;Malay Basin;9,95;102,20;PET;oil and gas;Steinshouer et al., 1999;4;1997;2;-9999;4;exploration between 1990 and 1997 - agreement signed in 1999 to develop the fields;CCOP, 2002b;1,2
OF058PET;Brunei;BX;835;3;58;Baram Delta/Brunei-Sabah Basi;5,10;114,33;PET;oil and gas;Steinshouer et al., 1999;1;1963;1;1964;1;Ampa field discovered in 1963 and started operating in 1964;Kulke, 1994 - ASEAN Centre for Energy, 2000 - Petroleum Economist, 2003;1,2
OF034PET;Bangladesh;BG;771;3;34;Ganges-Brahmaputra Delta;21,89;91,38;PET;gas;Wandrey et al., 1999 - Wandrey et al., 2000 - BISNET, year unknown;1;1976;1;1998;1;Kutubdia field discovered in 1976 and the Sangu field came on stream in 1998;Wandrey et al., 2000 - BISNET, year unknown - Petroleum Economist, 2003;1,2
OF343PET;Tunisia;TS;616;4;343;Pelagian Basin;34,62;12,58;PET;oil;Persits et al., 1997 - Kulke, 1995 - EIA, 2003b;1;1974;1;1978;2;Isis field discovered in 1974;Kulke, 1995 - Lundin, 2003 - Petroleum Economist, 2003;1,2
OF342PET;Tunisia;TS;616;4;342;Pelagian Basin;34,14;11,53;PET;oil;Persits et al., 1997 - Kulke, 1995 - EIA, 2003b - Earth Sciences and Resources Institute, 19;1;1971;1;1978;2;Ashtart field discovered in 1971;Kulke, 1995 - Lundin, 2003 - Petroleum Economist, 2003 - Earth Sciences and Resources Institute, 1995;1,2
OF341PET;Tunisia;TS;616;4;341;Pelagian Basin;36,14;11,43;PET;oil and gas;Persits et al., 1997 - Kulke, 1995 - EIA, 2003b - Petroleum Economist, 2003;1;1979;1;1979;2;Tazerka field found in 1979;Kulke, 1995 - Lundin, 2003 - Petroleum Economist, 2003;1,2
OF340PET;Tunisia;TS;616;4;340;Pelagian Basin;37,50;10,49;PET;---;Earth Sciences and Resources Institute, 1995 - Klett et al., 1997;3;1970;1;-9999;3;Sidi Abderrahman field found in 1970;Earth Sciences and Resources Institute, 1995;1,2
OF327PET;Tanzania;TZ;510;4;327;Tanzania Coastal;-8,47;39,50;PET;gas;Persits et al., 1997 - Mbendi, 2001g;2;1974;1;-9999;4;Songo Songo field;Mbendi, 2001g - Tanzania Petroleum Development Corporation, 2001a - Tanzania Petroleum Development Corporation, 200;1,2
OF326PET;Tanzania;TZ;510;4;326;Tanzania Coastal;-6,97;39,61;PET;gas;Persits et al., 1997 - Tanzania Petroleum Development Corporation, 2001b;4;-9999;3;-9999;4;gas shows;Tanzania Petroleum Development Corporation, 2001b;1,2
OF328PET;Tanzania;TZ;510;4;328;Tanzania Coastal;-10,29;40,44;PET;gas;Persits et al., 1997 - Mbendi, 2001g;2;1982;1;-9999;4;Mnazi Bay;Mbendi, 2001g - Tanzania Petroleum Development Corporation, 2001a - Tanzania Petroleum Development Corporation, 200;1,2
OF320PET;Sudan;SU;625;4;320;Red Sea Basin;18,80;37,95;PET;gas;Persits et al., 1997 - Kulke, 1995 - OPL, 1991;2;1976;1;-9999;4;Bashayer Suakin field;EIA, 2003w - Petroleum Economist, 2003 - World Resources Institute, 2003;1,2
OF312PET;South Africa;SF;560;4;312;South African Coastal;-35,12;21,80;PET;oil and gas;Persits et al., 1997 - Mbendi, 2003;1;1980;1;1992;2;FA field discovered in 1980;Mbendi, 2003 - World Energy Council, 2001bt - Petroleum Economist, 2003;1,2
OF313PET;South Africa;SF;560;4;313;South African Coastal;-34,58;23,75;PET;gas;Persits et al., 1997 - Mbendi, 2003;2;1969;1;-9999;4;Ga-A field discovered in 1969, Gas-B in 1983;Mbendi, 2003 - Kulke, 1995;1,2
OF311PET;South Africa;SF;560;4;311;Orange River Coastal;-30,85;16,59;PET;oil and gas;Persits et al., 1997 - EIA, 2002i - Petroleum Economist, 2003;2;2000;1;-9999;4;AK-1, renamed as Ibhubesi gas field;EIA, 2002i - Berge et al., 2002;1,2
OF310PET;South Africa;SF;560;4;310;Orange River Coastal;-30,60;17,16;PET;oil and gas;Persits et al., 1997 - EIA, 2002i - Petroleum Economist, 2003;2;2000;1;-9999;4;part of the of Ibhubesi area -> OFF311PET;EIA, 2002i - Berge et al., 2002;1,2
OF308PET;Senegal;SG;433;4;308;Senegal;14,99;-17,19;PET;oil and gas;Persits et al., 1997 - Kulke, 1995 - Mbendi, 2001c;1;1961;1;1986;1;;Mbendi, 2001d - Petrosen, 2003;1,2
OF309PET;Senegal;SG;433;4;309;Senegal;12,20;-17,18;PET;oil;Persits et al., 1997 - Kulke, 1995 - Mbendi, 2001c;3;1967;1;-9999;3;;Mbendi, 2001c;1,2
OF252PET;Nigeria;NI;475;4;252;Niger Delta;4,52;6,14;PET;oil and gas;Persits et al., 1997 - Mbendi, 2000o;1;1963;1;1964;1;;ChevronTexaco, 2003a - OPL, 1991;1,2
OF240PET;Namibia;WA;565;4;240;Orange River Coastal;-28,54;14,57;PET;gas;Persits et al., 1997 - Mbendi, 2000m;2;1973;1;-9999;4;Kudu field;Mbendi, 2000m - Moyo, 1999 - Petroleum Economist, 2003;1,2
OF234PET;Mozambique;MZ;541;4;234;Mozambique Coastal;-20,51;35,18;PET;gas;Persits et al., 1997 - Mbendi, 2001b;4;-9999;3;-9999;4;Sofala-Sengo Marine Block;Mbendi, 2001b - RIGZONE, 2000;1,2
OF233PET;Morocco;MO;600;4;233;Aaiun-Tarfaya Basin;28,31;-13,02;PET;oil;Persits et al., 1997, Kulke, 1995;1;1966;1;1969;1;;Kulke, 1995 - ONAREP_c, unknown;1,2
OF215PET;Madagascar;MA;580;4;215;Morondava;-20,92;43,71;PET;---;Persits et al., 1997;2;-9999;3;-9999;4;no further information available;Mbendi, 2000k;1,2
OF212PET;Libya;LY;620;4;212;Sirte Basin;30,45;19,20;PET;oil and gas;Persits et al., 1997 - Kulke 1995 - EIA, 2003o - Earth Sciences and Resources Institute, 199;3;1967;1;-9999;3;088-B-001 field discovered in 1967;Earth Sciences and Resources Institute, 1995;1,2
OF213PET;Libya;LY;620;4;213;Sirte Basin;32,37;20,04;PET;oil and gas;Persits et al., 1997 - Kulke 1995 - EIA, 2003o - Earth Sciences and Resources Institute, 199;3;1984;1;-9999;3;Al-NC 120 field found in 1984;Earth Sciences and Resources Institute, 1995;1,2
OF211PET;Libya;LY;620;4;211;Pelagian Basin;33,53;12,69;PET;oil;Persits et al., 1997 - Kulke 1995 - EIA, 2003o - Earth Sciences and Resources Institute, 199;1;1976;1;1976;2;El Bouri field discovered in 1976;Kulke, 1995 - Petroleum Economist, 2003;1,2
OF120PET;Ghana;GH;452;4;120;Gulf of Guinea;4,50;-2,18;PET;oil and gas;Persits et al., 1997 - Mbendi, 2000j;4;-9999;3;-9999;3;;GNPC, 2003;1,2
OF121PET;Ghana;GH;452;4;121;Gulf of Guinea;5,01;-0,99;PET;oil and gas;Persits et al., 1997 - Mbendi, 2000j;1;1977;1;1978;1;Saltpond field;GNPC, 2003 - Anonymous, 2001 - World Energy Council, 2001ag - Kulke, 1995 - Petroleum Economist;1,2
OF122PET;Ghana;GH;452;4;122;Gulf of Guinea;5,96;1,39;PET;oil and gas;Persits et al., 1997 - Mbendi, 2000j;4;-9999;3;-9999;3;;GNPC, 2003;1,2
OF119PET;Ghana;GH;452;4;119;Gulf of Guinea;4,88;-3,37;PET;oil and gas;Persits et al., 1997 - Mbendi, 2000j;1;1970;2;1975;2;Tano field;GNPC, 2003 - Mbendi, 2000j - Petroleum Economist, 2003;1,2
OF113PET;Gabon;GB;481;4;113;West-central coast;-3,01;10,09;PET;oil and gas;Persits et al., 1997 - Perenco, 2003b;3;-9999;3;-9999;3;not confirmed from Petroleum Economist;Petroleum Economist, 2003;1,2
OF112PET;Gabon;GB;481;4;112;West-central coast;-1,22;8,86;PET;oil;Persits et al., 1997 - Perenco, 2003b;1;1962;1;1966;1;Anguille field found in 1962 - start-up in 1966;Kulke, 1995 - Anonymous, 2001 - Total Gabon, 2003a;1,2
OF114PET;Gabon;GB;481;4;114;West-central coast;-3,92;10,70;PET;oil;Persits et al., 1997 - Perenco, 2003b;1;1969;1;1973;2;production started between 1971 and 1975;Kulke, 1995 - Anonymous, 2001 - Total Gabon, 2003b;1,2
OF111PET;Eritrea;ER;531;4;111;Red Sea Basin;16,83;39,28;PET;oil and gas;Persits et al., 1997;4;-9999;3;-9999;3;extensive exploration;Mbendi, 2000h - EIA, 2003i - Andarko Petroleum Corporation, 2003;1,2
OF110PET;Egypt;EG;651;4;110;Red Sea Basin;28,15;33,46;PET;oil;Persits et al., 1997 - Kulke, 1995;1;1961;1;1967;1;Belayim-Marin field discovered in 1961;OPL, 1991 - SPE, 1998 - Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF109PET;Egypt;EG;651;4;109;Red Sea Basin;29,68;32,53;PET;oil;Persits et al., 1997 - Kulke, 1995;1;1965;1;1967;1;amount of oil and gas still to be discovered;OPL, 1991 - SPE, 1998 - Anonymous, 2001;1,2
OF106PET;Egypt;EG;651;4;106;Nile Delta Basin;31,54;30,11;PET;gas;Persits et al., 1997 - Kulke, 1995;1;1967;1;1975;1;amount of oil and gas still to be discovered;Kulke, 1995 - SPE, 1998 - Anonymous, 2001;1,2
OF108PET;Egypt;EG;651;4;108;Nile Delta Basin;31,76;32,20;PET;gas;Persits et al., 1997 - Kulke, 1995;1;1967;1;1975;1;amount of oil and gas still to be discovered;Kulke, 1995 - SPE, 1998 - Anonymous, 2001;1,2
OF107PET;Egypt;EG;651;4;107;Nile Delta Basin;31,85;31,20;PET;gas;Persits et al., 1997 - Kulke, 1995;1;1967;1;1975;1;amount of oil and gas still to be discovered;Kulke, 1995 - SPE, 1998 - Anonymous, 2001;1,2
OF099PET;Cote d'Ivoire;IV;437;4;99;Gulf of Guinea;4,88;-3,37;PET;oil and gas;Persits et al., 1997 - Mbendi, 2000f;1;1970;2;1975;2;Belier (IV) and Tano (GH) field;Mbendi, 2000f - EIA, 2002f - Petroleum Economist, 2003;1,2
OF098PET;Cote d'Ivoire;IV;437;4;98;Gulf of Guinea;4,94;-4,75;PET;oil and gas;Persits et al., 1997 - Mbendi, 2000f;1;1970;2;1975;2;Foxtrot and Espoir field;Mbendi, 2000f - EIA, 2002f - Petroleum Economist, 2003;1,2
OF097PET;Congo (Kinshasa);CG;490;4;97;West-central Coastal;-5,94;12,21;PET;oil;Persits et al., 1997 - Kulke, 1995;1;1970;1;1975;2;GCO field discovered in 1970;Kulke, 1995 - Anonymous, 2001 - 1Up Info, 1993 - Petroleum Economist, 2003;1,2
OF096PET;Congo (Brazzaville);CF;484;4;96;West-central Coast;-4,82;11,39;PET;oil;Persits et al., 1997 - Kulke, 1995;1;1969;1;1973;1;Emeraude field discovered in 1969;Mbendi, 2000e - Anonymous, 2001 - OPL, 1991 - Petroleum Economist, 2003;1,2
OF063PET;Cameroon;CM;471;4;63;West-central coast;2,94;9,71;PET;oil;Persits et al., 1997 - Mbendi, 2000c - Perenco, 2003a;1;1980;1;1996;1;;Kulke, 1995 - Mbendi, 2000c;1,2
OF062PET;Cameroon;CM;471;4;62;Niger Delta;4,04;8,58;PET;oil and gas;Persits et al., 1997 - Mbendi, 2000c;1;1972;1;1978;1;;OPL, 1991 - World Energy Council, 2001p - Petroleum Economist, 2003;1,2
OF035PET;Benin;BN;434;4;35;Gulf of Guinea;6,17;2,70;PET;oil;Persits et al., 1997 - Mbendi, 2000b;1;1968;1;1982;1;Seme fields (North and South);Mbendi, 2000b - World Energy Council, 2001k - Petroleum Economist, 2003;1,2
OF006PET;Angola;AO;540;4;6;West-central Coast;-11,00;13,54;PET;oil;Persist et al., 1997 - GERGa, year unknown;3;-9999;3;-9999;3;no information available;;1,2
OF005PET;Angola;AO;540;4;5;West-central Coast;-9,64;13,11;PET;---;Persits et al., 1997;3;-9999;3;-9999;3;no information available;;1,2
OF012PET;Argentina;AR;160;5;12;Magallanes Basin;-53,70;-68,12;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1949;1;-9999;3;Las Violetas and Rio Cullen fields discovered in 1949;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF011PET;Argentina;AR;160;5;11;Magallanes Basin;-51,19;-69,90;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1965;1;-9999;3;Corrillos field found in 1965;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF010PET;Argentina;AR;160;5;10;Magallenes Basin;-49,65;-71,83;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF009PET;Argentina;AR;160;5;9;San Jorge Basin;-46,13;-68,87;PET;oil;Schenk et al., 1999 - Petroleum Economist, 2003;1;1945;1;1945;1;production commenced in 1907 at Comodoro Rivadavia;Kulke, 1995 - Petroleum Economist, 2003;1,2
OF008PET;Argentina;AR;160;5;8;Neuquen Basin;-37,68;-68,97;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1945;1;1970;2;El Porvenir field found in 1941 - Neuba I pipeline built in 1970 and transported gas from that basin -> production at least since;Anonymous, 2001 - Securities and Exchange Commission, Washington, D.C., 1999 - Petroleum Economist, 2003;1,2
OF007PET;Argentina;AR;160;5;7;Cuyo Basin;-34,00;-67,20;PET;oil;Schenk et al., 1999 - Petroleum Economist, 2003;4;-9999;3;-9999;4;Los Tordillos Oeste field - still under exploration in 2000;Wilkinson, 2000 - Petroleum Economist, 2003;1,2
OF031PET;Australia;AS;900;3;31;Otway Basin;-38,47;143,00;PET;gas;Steinshouer et al., 1999;1;1979;1;1986;1;Paaratte North field found in 1979 and came on stream in 1986;Geoscience Australia, 2002 - Petroleum Economist, 2003;1,2
OF032PET;Australia;AS;900;3;32;Otway Basin;-38,17;142,04;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF030PET;Australia;AS;900;3;30;Gippsland Basin;-37,77;147,95;PET;oil;Steinshouer et al., 1999;2;1945;1;-9999;4;oil discovered in 1924 but no effective production could be established;Kulke, 1995;1,2
OF014PET;Australia;AS;900;3;14;Amadeus Basin;-24,09;133,99;PET;oil and gas;Steinshouer et al., 1999;2;1981;1;-9999;4;Dingo field discovered in 1981 but not developed;Northern Territory Government, year unknown - Northern Territory Government, 2003 - Petroleum Economist, 2003;1,2
OF016PET;Australia;AS;900;3;16;Eromanga Basin;-27,40;141,52;PET;oil and gas;Steinshouer et al., 1999;1;1964;1;1969;1;Gidgealpa field discovered in 1964 and came on stream in 1969;Geoscience Australia, 2002 - Petroleum Economist, 2003;1,2
OF015PET;Australia;AS;900;3;15;Eromanga Basin;-26,42;137,67;PET;oil;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF017PET;Australia;AS;900;3;17;Eromanga Basin;-25,62;141,65;PET;oil;Steinshouer et al., 1999;1;1984;1;1985;1;Bookbourdie field discovered in 1984 and started operating in 1985;Geoscience Australia, 2002 - Petroleum Economist, 2003;1,2
OF020PET;Australia;AS;900;3;20;Eromanga Basin;-24,00;146,00;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF027PET;Australia;AS;900;3;27;Surat Basin;-30,36;149,60;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF018PET;Australia;AS;900;3;18;Eromanga Basin;-25,56;143,06;PET;oil;Steinshouer et al., 1999;1;1984;1;1984;1;Bodalla South field found in 1984 and put into production in the same year;Geoscience Australia, 2002 - Petroleum Economist, 2003;1,2
OF019PET;Australia;AS;900;3;19;Eromanga Basin;-25,36;144,81;PET;gas;Steinshouer et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF026PET;Australia;AS;900;3;26;Surat Basin;-27,37;150,27;PET;oil and gas;Steinshouer et al., 1999;1;1961;1;1964;1;Moonie field discovered in 1961 and came on stream in 1964;Geoscience Australia, 2002 - Petroleum Economist, 2003;1,2
OF024PET;Australia;AS;900;3;24;Surat Basin;-26,18;150,04;PET;oil and gas;Steinshouer et al., 1999;1;1964;1;1965;1;Yanalah field discovered in 1964 and production started in 1965 from the Pine Ridge fields;Geoscience Australia, 2002 - Petroleum Economist, 2003;1,2
OF025PET;Australia;AS;900;3;25;Surat Basin;-27,19;149,03;PET;oil and gas;Steinshouer et al., 1999;1;1965;1;1965;1;Trinidad field discoerved in 1965 an put into production in the same year;Geoscience Australia, 2002 - Petroleum Economist, 2003;1,2
