PRIMKEY;COUNTRY;FIPSCODE;COWCODE;CONTCODE;SITENUM;NAME;LAT;LONG;RES;RESINFO;LOCSOURCE;FIELDINFO;DISC;DISCPRES;PROD;PRODPRES;OTHERINFO;SOURCEINFO;VERSION
OF294PET;Russia;RS;365;1;294;Baltic Depression;54,73;19,72;PET;oil and gas;Persits et al., 1998;3;-9999;3;-9999;3;no information available;;1,2
OF299PET;Russia;RS;365;1;299;Khatyrka Basin;62,37;176,71;PET;oil;Persits et al., 1998;4;-9999;3;-9999;4;exploration at least since 1991 - no production has been reported yet;Kulke, 1994;1,2
OF293PET;Russia;RS;365;1;293;West Siberian Basin;68,95;76,26;PET;gas;Persits et al., 1998;4;-9999;3;-9999;4;development potential;Ulmishek, 2003 - EIA, 1997;1,2
OF287PET;Russia;RS;365;1;287;Timan-Pechora Basin;69,11;53,21;PET;gas;Persits et al., 1998;1;1985;1;-9999;3;Pomor field discovered in 1985;Lindquist, 1999c - Petroleum Economist, 2003;1,2
OF286PET;Russia;RS;365;1;286;Timan-Pechora Basin;69,15;49,72;PET;oil and gas;Persits et al., 1998;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF288PET;Russia;RS;365;1;288;Timan-Pechora Basin;69,17;56,93;PET;oil and gas;Persits et al., 1998;1;1977;1;-9999;3;Toravey field discovered in 1977;Lindquist, 1999c - Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003;1,2
OF285PET;Russia;RS;365;1;285;South Barents Basin;69,85;41,63;PET;gas;Persits et al., 1998;3;1984;1;-9999;3;Murmansk field discovered in 1984;Lindquist, 1999b - Petroleum Economist, 2003;1,2
OF291PET;Russia;RS;365;1;291;West Siberian Basin;70,60;66,90;PET;gas;Persits et al., 1998;4;-9999;3;-9999;4;development potential;Ulmishek, 2003 - EIA, 1997;1,2
OF280PET;Russia;RS;365;1;280;Central Barents Platform;71,51;36,75;PET;gas;Persits et al., 1998;3;1983;1;-9999;3;N. Kildinskoye field found in 1983;Lindquist, 1999b;1,2
OF290PET;Russia;RS;365;1;290;West Siberian Basin;72,33;65,60;PET;gas;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995;4;1990;1;-9999;4;Leningrad (Kara field) found in 1990 - development potential;Earth Sciences and Resources Institute, 1995 - Ulmishek, 2003 - EIA, 1997 - BISNIS, 1998;1,2
OF284PET;Russia;RS;365;1;284;South Barents Basin;73,00;48,00;PET;gas;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995 - Lindquist, 1999b;3;1988;1;-9999;3;Shtokman field found in 1988;Lindquist, 1999b - Earth Sciences and Resources Institute, 1995;1,2
OF283PET;Russia;RS;365;1;283;South Barents Basin;73,09;43,72;PET;gas;Persits et al., 1998;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF289PET;Russia;RS;365;1;289;West Siberian Basin;73,22;65,72;PET;gas;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995;3;1982;1;-9999;3;Rusanovskoye field found in 1982 - development potential;Earth Sciences and Resources Institute, 1995 - Ulmishek, 2003 - EIA, 1997;1,2
OF292PET;Russia;RS;365;1;292;West Siberian Basin;73,43;70,28;PET;oil;Persits et al., 1998;4;-9999;3;-9999;4;development potential;Ulmishek, 2003 - EIA, 1997;1,2
OF282PET;Russia;RS;365;1;282;South Barents Basin;74,05;46,94;PET;gas;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995;2;1991;1;-9999;4;Ledovoye field found in 1991 - not under production in 1998;Lindquist, 1999b - Earth Sciences and Resources Institute, 1995 - BISNIS, 1998;1,2
OF281PET;Russia;RS;365;1;281;Ludlov Saddle;74,69;47,10;PET;gas;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995;2;1990;1;-9999;4;Ludlov field discovered in 1990 - not under production in 1998;Lindquist, 1999b - Earth Sciences and Resources Institute, 1995 - BISNIS, 1998;1,2
OF208PET;Kazakhstan;KZ;705;3;208;Middle Caspian Basin;44,02;50,71;PET;oil;Persits et al., 1998 - Petroleum Economist, 2003;3;-9999;3;-9999;3;Zholaskan (Skaliskoye More) - no further information available;Petroleum Economist, 2003;1,2
OF209PET;Kazakhstan;KZ;705;3;209;Middle Caspian Basin;42,93;51,35;PET;oil and gas;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2;3;2001;1;-9999;3;Rakushechnoye field found in 2001;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003;1,2
OF207PET;Kazakhstan;KZ;705;3;207;Middle Caspian Basin;45,18;49,99;PET;oil and gas;Persits et al., 1998 - Petroleum Economist, 2003;2;-9999;3;-9999;4;Kurmangazy field not under production yet;British Embassy, 2002 - Petroleum Economist, 2003;1,2
OF206PET;Kazakhstan;KZ;705;3;206;North Caspian Basin;46,17;52,62;PET;oil;Persits et al., 1998 - Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2;2;2000;1;-9999;4;Kashagan East field discovered in 2000 and planned to come on stream in 2005;Eni, 2003c - EIA, 2003n - Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003;1,2
OF033PET;Azerbaijan;AJ;373;1;33;South Caspian Basin;40,20;50,55;PET;oil and gas;Persits et al., 1998;1;1945;2;1945;1;first oil well put into production in 1924;Mir Babayev, 2003;1,2
OF359PET;United Kingdom;UK;200;1;359;Ireland-Scotland Platform;51,97;-5,89;PET;gas;Pawlewicz et al., 2003 - Kulke, 1994;3;-9999;3;-9999;3;Dragon field - no further information available;Petroleum Economist, 2003;1,2
OF360PET;United Kingdom;UK;200;1;360;Irish Sea;53,83;-3,60;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1974;1;1985;1;Morecambe field found in 1974 and is under production since 1985;United Kingdom Offshore Operators Association, 2002b - Kulke, 1994 - Petroleum Economist, 2003;1,2
OF357PET;United Kingdom;UK;200;1;357;Anglo-Dutch Basin;53,81;1,75;PET;gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1966;1;1968;1;Leman field discovered in 1966 and was put into production in 1968;Kulke, 1994 - United Kingdom Offshore Operators Association, 2002a - Petroleum Economist, 2003;1,2
